DATE,POSITIVES / POPULATION,(POSITIVES TODAY) / (POSITIVES 10 DD BACK),VALUE,REGION
2020-04-20,0.0005170332,1.0188997638,37.7375,Campania
2020-04-20,0.0030394433,1.0128838951,169.025,Emilia-Romagna
2020-04-20,0.0009771142,0.8512160229,14.875,Friuli Venezia Giulia
2020-04-20,0.0007400658,1.2014863749,54.5625,Lazio
2020-04-20,0.0022334277,1.0590730082,43.7,Liguria
2020-04-20,0.0034522078,1.1712495767,432.3375,Lombardia
2020-04-20,0.0020883518,0.9686369119,40.15,Marche
2020-04-20,0.000686103,1.103626943,2.6625,Molise
2020-04-20,0.00308,1.1693242217,19.25,P.A. Bolzano
2020-04-20,0.00342714,0.9674022066,24.1125,P.A. Trento
2020-04-20,0.0033140384,1.2575155494,181.9625,Piemonte
2020-04-20,0.0006914561,1.2029109589,35.125,Puglia
2020-04-20,0.0005165942,0.9748858447,10.675,Sardegna
2020-04-20,0.000437049,1.1235383833,27.625,Sicilia
2020-04-20,0.0017550062,1.1281346616,82.1,Toscana
2020-04-20,0.0004769897,0.5638297872,5.3,Umbria
2020-04-20,0.0043189395,0.9102990033,6.85,Valle d'Aosta
2020-04-20,0.0020501152,0.9449610219,125.7625,Veneto
2020-04-21,0.001563248,1.1989559165,25.8375,Abruzzo
2020-04-21,0.0004295495,0.871886121,3.0625,Basilicata
2020-04-21,0.0004167667,1.0340909091,10.2375,Calabria
2020-04-21,0.0005045312,0.9813457695,36.825,Campania
2020-04-21,0.0029769551,0.9814005187,165.55,Emilia-Romagna
2020-04-21,0.0010855,0.9565846599,16.525,Friuli Venezia Giulia
2020-04-21,0.000746339,1.1801608579,55.025,Lazio
2020-04-21,0.0022123456,1.0390039004,43.2875,Liguria
2020-04-21,0.0033914221,1.1229426928,424.725,Lombardia
2020-04-21,0.0020922529,0.9959764779,40.225,Marche
2020-04-21,0.000686103,1.103626943,2.6625,Molise
2020-04-21,0.003072,1.2104018913,19.2,P.A. Bolzano
2020-04-21,0.0033916071,0.9249031008,23.8625,P.A. Trento
2020-04-21,0.0033718639,1.2170090386,185.1375,Piemonte
2020-04-21,0.0006919482,1.1706910908,35.15,Puglia
2020-04-21,0.0005063107,0.9425675676,10.4625,Sardegna
2020-04-21,0.0004467392,1.1289355322,28.2375,Sicilia
2020-04-21,0.0017694353,1.1051401869,82.775,Toscana
2020-04-21,0.0004578652,0.5629322268,5.0875,Umbria
2020-04-21,0.0041140263,0.8847457627,6.525,Valle d'Aosta
2020-04-21,0.0020533755,0.9374825565,125.9625,Veneto
2020-04-22,0.0015942558,1.2101033295,26.35,Abruzzo
2020-04-22,0.0004067571,0.8375451264,2.9,Basilicata
2020-04-22,0.0004177845,1.0327044025,10.2625,Calabria
2020-04-22,0.0005134367,0.9807000327,37.475,Campania
2020-04-22,0.0029409907,0.9569923932,163.55,Emilia-Romagna
2020-04-22,0.0010740045,0.9864253394,16.35,Friuli Venezia Giulia
2020-04-22,0.0007566813,1.1692428609,55.7875,Lazio
2020-04-22,0.0022206506,1.0429042904,43.45,Liguria
2020-04-22,0.0034177725,1.0952182952,428.025,Lombardia
2020-04-22,0.0021000549,1.037251124,40.375,Marche
2020-04-22,0.0006603339,1.0148514851,2.5625,Molise
2020-04-22,0.003024,0.998019802,18.9,P.A. Bolzano
2020-04-22,0.0033294247,0.9000960615,23.425,P.A. Trento
2020-04-22,0.003442666,1.2092762895,189.025,Piemonte
2020-04-22,0.0007072045,1.1721044046,35.925,Puglia
2020-04-22,0.0005038911,0.9224806202,10.4125,Sardegna
2020-04-22,0.0004522765,1.1266009852,28.5875,Sicilia
2020-04-22,0.0016478567,1.0008114249,77.0875,Toscana
2020-04-22,0.000417366,0.5400291121,4.6375,Umbria
2020-04-22,0.0039485195,0.8520408163,6.2625,Valle d'Aosta
2020-04-22,0.0020358514,0.9312144655,124.8875,Veneto
2020-04-23,0.0015882055,1.1811023622,26.25,Abruzzo
2020-04-23,0.0004014973,0.8481481481,2.8625,Basilicata
2020-04-23,0.0004188022,1.0404551201,10.2875,Calabria
2020-04-23,0.0005100115,0.9725669497,37.225,Campania
2020-04-23,0.0028872688,0.9295845998,160.5625,Emilia-Romagna
2020-04-23,0.0009319534,0.8684009181,14.1875,Friuli Venezia Giulia
2020-04-23,0.0007605808,1.1443877551,56.075,Lazio
2020-04-23,0.0022142621,1.0300148588,43.325,Liguria
2020-04-23,0.0033809418,1.060685768,423.4125,Lombardia
2020-04-23,0.0021000549,1.0487012987,40.375,Marche
2020-04-23,0.0006377859,0.9801980198,2.475,Molise
2020-04-23,0.002988,0.9720234223,18.675,P.A. Bolzano
2020-04-23,0.0033240948,0.8995192308,23.3875,P.A. Trento
2020-04-23,0.0034494958,1.1869956913,189.4,Piemonte
2020-04-23,0.0007224609,1.1687898089,36.7,Puglia
2020-04-23,0.0004942125,0.8938730853,10.2125,Sardegna
2020-04-23,0.0004550452,1.1224390244,28.7625,Sicilia
2020-04-23,0.0016489256,0.986255394,77.1375,Toscana
2020-04-23,0.0003993664,0.568,4.4375,Umbria
2020-04-23,0.003649031,0.795532646,5.7875,Valle d'Aosta
2020-04-23,0.0020224027,0.921883708,124.0625,Veneto
2020-04-24,0.0015723235,1.155,25.9875,Abruzzo
2020-04-24,0.0004014973,0.8641509434,2.8625,Basilicata
2020-04-24,0.0004177845,1.006127451,10.2625,Calabria
2020-04-24,0.0005040174,0.951195863,36.7875,Campania
2020-04-24,0.0028117436,0.9078966468,156.3625,Emilia-Romagna
2020-04-24,0.0010838577,1.468298109,16.5,Friuli Venezia Giulia
2020-04-24,0.0007615981,1.1168572849,56.15,Lazio
2020-04-24,0.0021957354,0.9916330063,42.9625,Liguria
2020-04-24,0.0034303489,1.0619534654,429.6,Lombardia
2020-04-24,0.0021280123,1.0575121163,40.9125,Marche
2020-04-24,0.0006442282,1,2.5,Molise
2020-04-24,0.002186,0.6988491049,13.6625,P.A. Bolzano
2020-04-24,0.0032459226,0.8775216138,22.8375,P.A. Trento
2020-04-24,0.0035039064,1.1789352738,192.3875,Piemonte
2020-04-24,0.0007217226,1.1492946708,36.6625,Puglia
2020-04-24,0.0004863487,0.8933333333,10.05,Sardegna
2020-04-24,0.0004588026,1.1202317721,29,Sicilia
2020-04-24,0.0016387717,0.96552267,76.6625,Toscana
2020-04-24,0.0003622422,0.5176848875,4.025,Umbria
2020-04-24,0.0027899719,0.633273703,4.425,Valle d'Aosta
2020-04-24,0.0019722757,0.9015461997,120.9875,Veneto
2020-04-25,0.0015587103,1.1386740331,25.7625,Abruzzo
2020-04-25,0.0003822114,0.8352490421,2.725,Basilicata
2020-04-25,0.0004126958,0.9902319902,10.1375,Calabria
2020-04-25,0.0005026473,0.9507612569,36.6875,Campania
2020-04-25,0.0027753296,0.9094056124,154.3375,Emilia-Romagna
2020-04-25,0.0008900771,0.7776183644,13.55,Friuli Venezia Giulia
2020-04-25,0.0007732967,1.12700766,57.0125,Lazio
2020-04-25,0.00219318,0.9910508083,42.9125,Liguria
2020-04-25,0.0034408292,1.0471431609,430.9125,Lombardia
2020-04-25,0.0021273622,1.0565062964,40.9,Marche
2020-04-25,0.0006377859,0.9611650485,2.475,Molise
2020-04-25,0.00207,0.6567258883,12.9375,P.A. Bolzano
2020-04-25,0.0030984614,0.8288973384,21.8,P.A. Trento
2020-04-25,0.0035291766,1.1748389541,193.775,Piemonte
2020-04-25,0.0007182777,1.1344733774,36.4875,Puglia
2020-04-25,0.0004802996,0.9126436782,9.925,Sardegna
2020-04-25,0.0004493101,1.0917827967,28.4,Sicilia
2020-04-25,0.0016422454,0.9577684276,76.825,Toscana
2020-04-25,0.0003341178,0.5103092784,3.7125,Umbria
2020-04-25,0.0024668395,0.5711678832,3.9125,Valle d'Aosta
2020-04-25,0.0019219448,0.8742237464,117.9,Veneto
2020-04-26,0.0015640043,1.1178378378,25.85,Abruzzo
2020-04-26,0.0003839647,0.8021978022,2.7375,Basilicata
2020-04-26,0.0004055715,0.9409681228,9.9625,Calabria
2020-04-26,0.0005007635,0.9377806286,36.55,Campania
2020-04-26,0.0027739809,0.9032423333,154.2625,Emilia-Romagna
2020-04-26,0.0010247382,0.9383458647,15.6,Friuli Venezia Giulia
2020-04-26,0.0007753313,1.103523166,57.1625,Lazio
2020-04-26,0.0022232061,1.0125109107,43.5,Liguria
2020-04-26,0.0035099991,1.0627379873,439.575,Lombardia
2020-04-26,0.0021507683,1.0588988476,41.35,Marche
2020-04-26,0.0006442282,0.9852216749,2.5,Molise
2020-04-26,0.001988,0.6239799121,12.425,P.A. Bolzano
2020-04-26,0.0029883097,0.8059415429,21.025,P.A. Trento
2020-04-26,0.0035330468,1.12595226,193.9875,Piemonte
2020-04-26,0.0007227069,1.1188571429,36.7125,Puglia
2020-04-26,0.0004736455,0.9052023121,9.7875,Sardegna
2020-04-26,0.0004166798,0.9995256167,26.3375,Sicilia
2020-04-26,0.0016216706,0.9177377892,75.8625,Toscana
2020-04-26,0.0003329928,0.552238806,3.7,Umbria
2020-04-26,0.0020018442,0.4903474903,3.175,Valle d'Aosta
2020-04-26,0.0018620369,0.8461111111,114.225,Veneto
2020-04-27,0.0015352653,1.0453141092,25.375,Abruzzo
2020-04-27,0.0003804581,0.8157894737,2.7125,Basilicata
2020-04-27,0.0003979385,0.9548229548,9.775,Calabria
2020-04-27,0.0004927143,0.9504459861,35.9625,Campania
2020-04-27,0.0027479067,0.8998895841,152.8125,Emilia-Romagna
2020-04-27,0.0010329493,0.880952381,15.725,Friuli Venezia Giulia
2020-04-27,0.0007734663,1.08258187,57.025,Lazio
2020-04-27,0.0022870913,1.0349812084,44.75,Liguria
2020-04-27,0.0035374475,1.0600287133,443.0125,Lombardia
2020-04-27,0.0021520687,1.0484637314,41.375,Marche
2020-04-27,0.0006442282,0.9615384615,2.5,Molise
2020-04-27,0.00188,0.5941845765,11.75,P.A. Bolzano
2020-04-27,0.0030327257,0.8577889447,21.3375,P.A. Trento
2020-04-27,0.0035305426,1.1078725532,193.85,Piemonte
2020-04-27,0.0007165552,1.0963855422,36.4,Puglia
2020-04-27,0.0004694111,0.8899082569,9.7,Sardegna
2020-04-27,0.0004198439,0.9925198691,26.5375,Sicilia
2020-04-27,0.0015986909,0.9088561446,74.7875,Toscana
2020-04-27,0.0003228681,0.5809716599,3.5875,Umbria
2020-04-27,0.0018521,0.4786150713,2.9375,Valle d'Aosta
2020-04-27,0.0018053892,0.8344320964,110.75,Veneto
2020-04-28,0.0015050138,1.0096397768,24.875,Abruzzo
2020-04-28,0.000359419,0.7824427481,2.5625,Basilicata
2020-04-28,0.0003887787,0.9182692308,9.55,Calabria
2020-04-28,0.0004798698,0.9201970443,35.025,Campania
2020-04-28,0.0026980061,0.8836130742,150.0375,Emilia-Romagna
2020-04-28,0.0010173483,0.8831076265,15.4875,Friuli Venezia Giulia
2020-04-28,0.0007734663,1.0653900047,57.025,Lazio
2020-04-28,0.0022813416,1.0466002345,44.6375,Liguria
2020-04-28,0.0035676906,1.0452990203,446.8,Lombardia
2020-04-28,0.0021676728,1.0510718789,41.675,Marche
2020-04-28,0.0006281225,0.9330143541,2.4375,Molise
2020-04-28,0.00182,0.5848329049,11.375,P.A. Bolzano
2020-04-28,0.0027804427,0.7884130982,19.5625,P.A. Trento
2020-04-28,0.0035300872,1.0902060044,193.825,Piemonte
2020-04-28,0.0007182777,1.083518931,36.4875,Puglia
2020-04-28,0.0004669915,0.876276958,9.65,Sardegna
2020-04-28,0.0004237991,0.9871027176,26.7875,Sicilia
2020-04-28,0.001575444,0.9112828439,73.7,Toscana
2020-04-28,0.0003093683,0.6380510441,3.4375,Umbria
2020-04-28,0.0016471868,0.3806921676,2.6125,Valle d'Aosta
2020-04-28,0.0017526132,0.823535044,107.5125,Veneto
2020-04-29,0.0014944258,0.9944640161,24.7,Abruzzo
